Zona;Contrato;Uso;Direccion Suministro;Contador;Diametro;F.Instalacion;Marca;Emplazamiento;Edad
"	Z022";58962;OBRAS;C/JESUS JUAN BERNABEU, Nº 8, LOCAL 2;40514;15;01/01/2020;Sin Determinar;Sin determinar;4
"	Z022";58902;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 8, LOCAL 1;40431;15;24/05/2019;Sin Determinar;Sin determinar;5
"	Z022";9949751;GARAJES;C/JESUS JUAN BERNABEU, Nº 8, LOCAL 8;42867;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";9923113;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 8, LOCAL 10;42869;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";3041418;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 8, LOCAL 9;42876;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";268830;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 8, Plt 1º, A;42872;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";268829;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 8, Plt 1º, C;42870;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";268834;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 8, Plt 2º, A;42868;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";58899;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 8, Plt 2º, B;40428;15;01/04/2019;Sin Determinar;Sin determinar;5
"	Z022";268828;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 8, Plt 2º, C;42837;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";3029473;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 8, Plt 3º, B;42877;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";268901;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 8, Plt 3º, C;42833;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";268890;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 8, Plt 4º, B;42862;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";267170;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 9, LOCAL B;42746;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";58920;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 9, Plt 1º, A;41313;15;01/11/2020;Sin Determinar;Sin determinar;4
"	Z022";59001;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 9, Plt 4, 4;42742;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275663;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 9, Plt BAJO;42740;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";267448;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 9, Plt BAJO, 1;42745;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275769;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 9, Plt BAJO, A, -CP-;42744;15;01/01/2021;Sin Determinar;Sin determinar;3
